num,State,latitude_x,longitude_x,name,latitude_y,longitude_y
6717,Arizona,35.182835,-111.661309,McDonald's,34.048928,-111.093731
4220,Arizona,33.324534,-111.720441,SUBWAY®,34.048928,-111.093731
3611,Arizona,33.378529,-111.784331,El Pollo Loco,34.048928,-111.093731
4191,Arizona,33.494323,-112.220284,Church's Chicken,34.048928,-111.093731
1830,Arizona,33.377368,-112.070873,Arby's,34.048928,-111.093731
1829,Arizona,33.480706,-111.998419,Arby's,34.048928,-111.093731
1828,Arizona,33.480706,-111.998419,Arby's,34.048928,-111.093731
1827,Arizona,33.480706,-111.998419,Arby's,34.048928,-111.093731
1826,Arizona,32.207035,-110.837469,Arby's,34.048928,-111.093731
1825,Arizona,31.555069,-110.278089,Arby's,34.048928,-111.093731
1824,Arizona,33.466232,-111.922231,Arby's,34.048928,-111.093731
1823,Arizona,34.477558,-110.084676,Arby's,34.048928,-111.093731
1822,Arizona,32.134323,-110.997199,Arby's,34.048928,-111.093731
1821,Arizona,32.134323,-110.997199,Arby's,34.048928,-111.093731
1820,Arizona,32.337175,-111.05709,Arby's,34.048928,-111.093731
1762,Arizona,33.478164,-111.926575,Boston Market,34.048928,-111.093731
1520,Arizona,33.61069,-112.189786,Wienerschnitzel,34.048928,-111.093731
1519,Arizona,33.421726,-111.909156,Wienerschnitzel,34.048928,-111.093731
1831,Arizona,33.376815,-111.688373,Arby's,34.048928,-111.093731
1518,Arizona,32.222219,-110.869272,Wienerschnitzel,34.048928,-111.093731
1497,Arizona,33.290896,-111.841588,Del Taco,34.048928,-111.093731
1496,Arizona,33.37853,-111.787098,Del Taco,34.048928,-111.093731
1495,Arizona,33.612073,-112.185316,Del Taco,34.048928,-111.093731
1494,Arizona,33.463209,-111.683895,Del Taco,34.048928,-111.093731
1493,Arizona,33.463209,-111.683895,Del Taco,34.048928,-111.093731
1492,Arizona,33.41444,-111.858512,Del Taco,34.048928,-111.093731
1491,Arizona,33.305822,-111.977139,Del Taco,34.048928,-111.093731
1490,Arizona,33.305822,-111.977139,Del Taco,34.048928,-111.093731
1489,Arizona,33.552759,-112.100132,Del Taco,34.048928,-111.093731
1488,Arizona,33.636958,-112.348342,Del Taco,34.048928,-111.093731
